Country,Year,Life Ladder,GDP per capita,Social support,Life expectancy,Freedom,Corruption,Suicide rate (per 100K people)
Brazil,2009,7.001,9.544,0.9129999999999999,64.26,0.767,0.723,5.1
Brazil,2010,6.837000000000001,9.607000000000001,0.9059999999999999,64.5,0.8059999999999999,0.6559999999999999,5.0
Brazil,2011,7.037999999999999,9.637,0.9159999999999999,64.76,0.8340000000000001,0.662,5.2
Brazil,2012,6.66,9.647,0.89,65.02,0.8490000000000001,0.623,5.4
Brazil,2013,7.14,9.668,0.91,65.28,0.785,0.7070000000000001,5.6
Brazil,2014,6.981,9.664,0.898,65.54,0.7140000000000001,0.71,5.6
Brazil,2015,6.547000000000001,9.62,0.907,65.8,0.799,0.7709999999999999,5.9
Brazil,2016,6.375,9.578,0.912,66.0,0.807,0.7809999999999999,6.0
Brazil,2017,6.332999999999999,9.583,0.905,66.2,0.765,0.794,6.6
Brazil,2018,6.191,9.589,0.882,66.4,0.7509999999999999,0.763,7.0
Brazil,2019,6.4510000000000005,9.592,0.899,66.6,0.83,0.762,6.9
Canada,2005,7.417999999999999,10.652000000000001,0.9620000000000001,71.3,0.9570000000000001,0.503,12.2
Canada,2008,7.486000000000001,10.738,0.9390000000000001,71.84,0.9259999999999999,0.37,11.5
Canada,2009,7.4879999999999995,10.697000000000001,0.943,72.02,0.915,0.413,12.0
Canada,2010,7.65,10.717,0.9540000000000001,72.2,0.934,0.413,12.1
Canada,2011,7.426,10.738,0.922,72.36,0.951,0.433,11.3
Canada,2012,7.415,10.744000000000002,0.948,72.52,0.9179999999999999,0.466,11.8
Canada,2013,7.593999999999999,10.757,0.9359999999999999,72.68,0.9159999999999999,0.406,12.1
Canada,2014,7.303999999999999,10.775,0.9179999999999999,72.84,0.9390000000000001,0.442,12.7
Canada,2015,7.412999999999999,10.774000000000001,0.9390000000000001,73.0,0.9309999999999999,0.42700000000000005,13.0
Canada,2016,7.245,10.773,0.924,73.2,0.912,0.385,11.9
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.36200000000000004,13.0
Canada,2018,7.175,10.798,0.9229999999999999,73.6,0.946,0.37200000000000005,12.0
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.436,11.8
Finland,2006,7.672000000000001,10.745,0.965,69.76,0.9690000000000001,0.132,21.0
Finland,2008,7.671,10.796,0.951,70.08,0.934,0.217,20.6
Finland,2010,7.393,10.734000000000002,0.935,70.4,0.9159999999999999,0.413,18.6
Finland,2011,7.354,10.754000000000001,0.938,70.64,0.9359999999999999,0.32,17.9
Finland,2012,7.42,10.735,0.9279999999999999,70.88,0.9209999999999999,0.361,17.0
Finland,2013,7.445,10.722000000000001,0.941,71.12,0.919,0.306,17.2
Finland,2014,7.385,10.714,0.9520000000000001,71.36,0.9329999999999999,0.265,15.4
Finland,2015,7.4479999999999995,10.716,0.948,71.6,0.93,0.223,14.0
Finland,2016,7.66,10.74,0.9540000000000001,71.7,0.948,0.25,15.2
Finland,2017,7.787999999999999,10.767999999999999,0.9640000000000001,71.8,0.9620000000000001,0.192,15.9
Finland,2018,7.858,10.783,0.9620000000000001,71.9,0.938,0.19899999999999998,16.2
Finland,2019,7.78,10.792,0.937,72.0,0.948,0.195,15.3
Japan,2005,6.516,10.529000000000002,0.9279999999999999,73.2,0.868,0.6990000000000001,24.3
Japan,2007,6.2379999999999995,10.558,0.938,73.44,0.7959999999999999,0.809,25.0
Japan,2008,5.9110000000000005,10.546,0.887,73.56,0.772,0.816,24.4
Japan,2009,5.845,10.491,0.888,73.68,0.73,0.74,24.9
Japan,2010,6.057,10.532,0.902,73.8,0.772,0.77,24.1
Japan,2011,6.263,10.532,0.917,73.98,0.8140000000000001,0.7340000000000001,23.4
Japan,2012,5.968,10.549000000000001,0.905,74.16,0.753,0.6920000000000001,21.6
Japan,2013,5.959,10.57,0.924,74.34,0.821,0.65,21.4
Japan,2014,5.922999999999999,10.575,0.9,74.52,0.838,0.617,20.1
Japan,2015,5.88,10.588,0.9229999999999999,74.7,0.8320000000000001,0.654,19.1
Japan,2016,5.955,10.595,0.9,74.8,0.836,0.698,17.5
Japan,2017,5.9110000000000005,10.618,0.882,74.9,0.8490000000000001,0.659,17.0
Japan,2018,5.794,10.623,0.8859999999999999,75.0,0.773,0.687,16.7
Japan,2019,5.9079999999999995,10.632,0.878,75.1,0.8059999999999999,0.617,15.3
Nigeria,2006,4.71,8.326,0.735,44.12,0.649,0.871,4.7
Nigeria,2007,4.89,8.363999999999999,0.718,44.64,0.635,0.9179999999999999,4.7
Nigeria,2008,4.939,8.402999999999999,0.78,45.16,0.584,0.892,4.6
Nigeria,2009,4.98,8.453,0.722,45.68,0.537,0.9129999999999999,4.5
Nigeria,2010,4.76,8.504,0.8240000000000001,46.2,0.565,0.9109999999999999,4.4
Nigeria,2012,5.492999999999999,8.543,0.818,47.12,0.652,0.9,4.2
Nigeria,2013,4.8180000000000005,8.581,0.6629999999999999,47.58,0.622,0.905,4.1
Nigeria,2015,4.933,8.615,0.812,48.5,0.68,0.9259999999999999,3.7
Nigeria,2016,5.22,8.573,0.805,48.9,0.7979999999999999,0.905,3.7
Nigeria,2017,5.322,8.555,0.733,49.3,0.826,0.835,3.6
Nigeria,2018,5.252000000000001,8.548,0.741,49.7,0.79,0.866,3.5
Nigeria,2019,4.356,8.544,0.7340000000000001,50.1,0.7290000000000001,0.873,3.5
South Africa,2007,5.204,9.426,0.7879999999999999,48.64,0.69,0.8590000000000001,24.6
South Africa,2008,5.346,9.443999999999999,0.81,49.26,0.7490000000000001,0.866,26.7
South Africa,2009,5.218,9.414,0.877,49.88,0.7390000000000001,0.904,26.7
South Africa,2010,4.652,9.43,0.917,50.5,0.7390000000000001,0.7909999999999999,24.6
South Africa,2011,4.931,9.447000000000001,0.858,51.46,0.835,0.8190000000000001,22.4
South Africa,2012,5.1339999999999995,9.453,0.907,52.42,0.59,0.838,22.9
South Africa,2013,3.661,9.461,0.8390000000000001,53.38,0.7140000000000001,0.8,23.7
South Africa,2014,4.828,9.464,0.8809999999999999,54.34,0.794,0.82,24.1
South Africa,2015,4.887,9.46,0.898,55.3,0.862,0.853,24.5
South Africa,2016,4.77,9.45,0.875,55.7,0.774,0.813,24.4
South Africa,2017,4.513999999999999,9.45,0.87,56.1,0.787,0.865,25.2
South Africa,2018,4.8839999999999995,9.443999999999999,0.841,56.5,0.753,0.841,24.1
South Africa,2019,5.035,9.432,0.848,56.9,0.738,0.82,23.5
Spain,2005,7.153,10.546,0.961,71.5,0.9159999999999999,0.777,8.0
Spain,2007,6.995,10.587,0.9570000000000001,72.06,0.782,0.784,7.4
Spain,2008,7.294,10.579,0.948,72.34,0.8340000000000001,0.6829999999999999,7.8
Spain,2009,6.199,10.532,0.929,72.62,0.7490000000000001,0.7979999999999999,7.6
Spain,2010,6.188,10.529000000000002,0.95,72.9,0.7959999999999999,0.84,6.9
Spain,2011,6.518,10.517999999999999,0.9440000000000001,73.02,0.8190000000000001,0.846,7.1
Spain,2012,6.291,10.487,0.937,73.14,0.755,0.8440000000000001,7.7
Spain,2013,6.15,10.475999999999999,0.929,73.26,0.759,0.9159999999999999,8.5
Spain,2014,6.456,10.492,0.948,73.38,0.738,0.8540000000000001,8.6
Spain,2015,6.381,10.530999999999999,0.956,73.5,0.732,0.8220000000000001,7.9
Spain,2016,6.319,10.56,0.9420000000000001,73.8,0.768,0.8190000000000001,7.8
Spain,2017,6.23,10.585999999999999,0.903,74.1,0.7559999999999999,0.7909999999999999,8.2
Spain,2018,6.513,10.605,0.91,74.4,0.722,0.777,7.8
Spain,2019,6.457000000000001,10.618,0.9490000000000001,74.7,0.778,0.73,7.7
United Kingdom,2005,6.984,10.663,0.9790000000000001,69.9,0.922,0.39799999999999996,7.9
United Kingdom,2007,6.8020000000000005,10.699000000000002,0.97,70.46,0.838,0.498,7.6
United Kingdom,2008,6.986000000000001,10.689,0.9540000000000001,70.74,0.759,0.5479999999999999,8.1
United Kingdom,2009,6.907,10.638,0.9640000000000001,71.02,0.816,0.5589999999999999,8.0
United Kingdom,2010,7.029,10.649000000000001,0.955,71.3,0.841,0.5870000000000001,7.8
United Kingdom,2011,6.869,10.657,0.9490000000000001,71.38,0.9,0.43799999999999994,8.3
United Kingdom,2012,6.881,10.664000000000001,0.935,71.46,0.889,0.425,8.2
United Kingdom,2013,6.917999999999999,10.679,0.937,71.54,0.905,0.568,8.8
United Kingdom,2014,6.757999999999999,10.697000000000001,0.91,71.62,0.857,0.484,8.6
United Kingdom,2015,6.515,10.712,0.9359999999999999,71.7,0.833,0.456,8.8
United Kingdom,2016,6.824,10.724,0.9540000000000001,71.9,0.821,0.45799999999999996,8.5
United Kingdom,2017,7.103,10.735999999999999,0.937,72.1,0.813,0.419,8.2
United Kingdom,2018,7.233,10.743,0.9279999999999999,72.3,0.838,0.40399999999999997,8.1
United Kingdom,2019,7.157,10.751,0.943,72.5,0.8540000000000001,0.485,7.9
United States,2006,7.182,10.924000000000001,0.965,68.06,0.9109999999999999,0.6,12.1
United States,2008,7.28,10.922,0.953,68.38,0.878,0.6679999999999999,12.7
United States,2009,7.1579999999999995,10.888,0.912,68.54,0.831,0.665,12.8
United States,2010,7.164,10.905,0.9259999999999999,68.7,0.828,0.69,13.1
United States,2011,7.115,10.913,0.922,68.68,0.863,0.6970000000000001,13.4
United States,2012,7.026,10.927999999999999,0.903,68.66,0.823,0.71,13.5
United States,2013,7.249,10.939,0.925,68.64,0.792,0.747,13.5
United States,2014,7.151,10.956,0.902,68.62,0.866,0.7020000000000001,14.0
United States,2015,6.864,10.977,0.904,68.6,0.8490000000000001,0.698,14.4
United States,2016,6.803999999999999,10.985999999999999,0.897,68.5,0.758,0.7390000000000001,15.1
United States,2017,6.992000000000001,11.001,0.9209999999999999,68.4,0.868,0.6809999999999999,15.9
United States,2018,6.882999999999999,11.025,0.904,68.3,0.825,0.71,15.7
United States,2019,6.944,11.043,0.917,68.2,0.836,0.7070000000000001,16.1
Vietnam,2007,5.422000000000001,8.394,0.856,66.02,0.9179999999999999,0.754,6.7
Vietnam,2008,5.48,8.44,0.805,66.18,0.889,0.789,6.9
Vietnam,2009,5.303999999999999,8.482999999999999,0.815,66.34,0.8340000000000001,0.838,6.9
Vietnam,2010,5.296,8.535,0.787,66.5,0.831,0.743,7.0
Vietnam,2011,5.767,8.585,0.898,66.66,0.818,0.742,7.2
Vietnam,2012,5.535,8.626,0.775,66.82,0.856,0.815,7.4
Vietnam,2013,5.023,8.668,0.759,66.98,0.92,0.7709999999999999,7.5
Vietnam,2016,5.062,8.82,0.8759999999999999,67.5,0.894,0.799,7.7
Vietnam,2018,5.296,8.934,0.8320000000000001,67.9,0.909,0.8079999999999999,7.6
Vietnam,2019,5.4670000000000005,8.992,0.848,68.1,0.9520000000000001,0.7879999999999999,7.5
